Variety,Year,Production,rPrice,Colour,Country
Moscato Giallo,2021,2455.396996,389.3612976,White,Italy
Moscato Giallo,2022,0,0,White,Italy
Moscato Giallo,2023,1470.181,,White,Italy
Muscadelle,2001,1491.899985,1335.709839,White,France
Muscadelle,2002,1288.320005,1394.608154,White,France
Muscadelle,2003,909.1000111,1559.936401,White,France
Muscadelle,2004,1056.983743,1053.446899,White,France
Muscadelle,2005,924.6000056,1184.4646,White,France
Muscadelle,2006,714.2000108,911.7236938,White,France
Muscadelle,2007,528.6766782,1898.599121,White,France
Muscadelle,2008,656.9800081,696.2153931,White,France
Muscadelle,2009,677.1537895,673.2624512,White,France
Muscadelle,2010,404.1000047,676.6876221,White,France
Muscadelle,2011,150,375.9144287,White,France
Muscadelle,2012,464.820001,541.8532715,White,France
Muscadelle,2013,94.70032644,749.7151489,White,France
Muscadelle,2014,32.00032997,783.1212158,White,France
Muscadelle,2015,788.8799959,328.9720459,White,France
Muscadelle,2016,386.7040086,984.8986816,White,France
Muscadelle,2017,420.1099964,917.9042358,White,France
Muscadelle,2018,375.8920014,1269.55835,White,France
Muscadelle,2019,291.1519954,,White,France
Muscadelle,2020,262.3740011,,White,France
Muscadelle,2021,268.7790043,,White,France
Muscadelle,2022,0,0,White,France
Muscadelle,2023,275.306,,White,France
Muscat Blanc a Petits Grains,2001,2531.000001,741.348999,White,Greece
Muscat Blanc a Petits Grains,2002,2704.130027,749.0494385,White,Greece
Muscat Blanc a Petits Grains,2003,1811.599992,712.3259888,White,Greece
Muscat Blanc a Petits Grains,2004,2071.687798,733.3583374,White,Greece
Muscat Blanc a Petits Grains,2005,2149.199991,810.9046631,White,Greece
Muscat Blanc a Petits Grains,2006,531.0999857,785.3623657,White,Greece
Muscat Blanc a Petits Grains,2007,599.6614563,685.44104,White,Greece
Muscat Blanc a Petits Grains,2008,3625.180002,817.475708,White,Greece
Muscat Blanc a Petits Grains,2009,7660.475332,679.4605713,White,Greece
Muscat Blanc a Petits Grains,2010,3083.800002,545.7658081,White,Greece
Muscat Blanc a Petits Grains,2011,17714.17003,525.9660645,White,Greece
Muscat Blanc a Petits Grains,2012,12628.45021,550.0869141,White,Greece
Muscat Blanc a Petits Grains,2013,21889.21892,528.1033325,White,Greece
Muscat Blanc a Petits Grains,2014,22093.48197,388.1083069,White,Greece
Muscat Blanc a Petits Grains,2015,17670.43847,362.1445618,White,Greece
Muscat Blanc a Petits Grains,2016,19417.00595,386.2427979,White,Greece
Muscat Blanc a Petits Grains,2017,22675.38264,387.8037415,White,Greece
Muscat Blanc a Petits Grains,2018,18978.80068,375.5300903,White,Greece
Muscat Blanc a Petits Grains,2019,18350.95584,410.7365723,White,Greece
Muscat Blanc a Petits Grains,2020,18110.63366,420.5881958,White,Greece
Muscat Blanc a Petits Grains,2021,20211.44958,399.6066589,White,Greece
Muscat Blanc a Petits Grains,2022,18713.14668,391.8241577,White,Greece
Muscat Blanc a Petits Grains,2023,10513.053,342.0461121,White,Greece
Muscat Blanc a Petits Grains (R),2001,1571.700004,1725.273438,White,Greece
Muscat Blanc a Petits Grains (R),2002,1550.54,1503.984863,White,Greece
Muscat Blanc a Petits Grains (R),2003,1298.199997,1580.025513,White,Greece
Muscat Blanc a Petits Grains (R),2004,1271.508954,1570.236206,White,Greece
Muscat Blanc a Petits Grains (R),2005,1623.900015,1540.690552,White,Greece
Muscat Blanc a Petits Grains (R),2006,1523.800028,919.828125,White,Greece
Muscat Blanc a Petits Grains (R),2007,1256.418154,1366.927734,White,Greece
Muscat Blanc a Petits Grains (R),2008,1189.199994,991.5484009,White,Greece
Muscat Blanc a Petits Grains (R),2009,775.6475277,647.0386353,White,Greece
Muscat Blanc a Petits Grains (R),2010,1519.299984,1420.736938,White,Greece
Muscat Blanc a Petits Grains (R),2011,737.1685586,758.4899292,White,Greece
Muscat Blanc a Petits Grains (R),2012,1442.309985,463.8323364,White,Greece
Muscat Blanc a Petits Grains (R),2013,1030.334422,691.0820313,White,Greece
Muscat Blanc a Petits Grains (R),2014,1311.189113,605.5264282,White,Greece
Muscat Blanc a Petits Grains (R),2015,1646.849979,486.5092468,White,Greece
